Harga,Tahun,Jarak_km,CC_mid,Usia_mobil,Merek,Model,Varian,Tipe bahan bakar,Transmisi,Tipe bodi,Sistem Penggerak,Warna,Tipe Penjual,KotaKab,Provinsi,Nama Bursa Mobil
75000000.0,2011.0,77500.0,1250.0,14.0,KIA,Picanto,M/T,Bensin,Manual,Hatchback,Front Wheel Drive (FWD),Coklat,nan,Bekasi Kota,Jawa Barat,nan
86000000.0,2016.0,37500.0,1250.0,9.0,Datsun,Go,Panca T Active,Bensin,Manual,Hatchback,Front Wheel Drive (FWD),Hitam,Individu,Malang Kota,Jawa Timur,nan
39000000.0,1995.0,47500.0,1750.0,30.0,Isuzu,Panther,Lain-lain,Diesel,Manual,Hatchback,4X2,Merah,Individu,Denpasar Kota,Bali,Bursa Mobil Lenmarc Surabaya
62000000.0,2007.0,92500.0,1000.0,18.0,KIA,Travello,Option 2,Diesel,Manual,Minibus,4X4,Abu-abu,Individu,Kab. Badung,Bali,nan
105000000.0,2000.0,127500.0,2500.0,25.0,Mercedes-Benz,Lain-lain,Lain-lain,Bensin,Automatic Triptonic,Sedan,Rear Wheel Drive (RWD),Hitam,Individu,Bekasi Kota,Jawa Barat,nan
100000000.0,2015.0,37500.0,1000.0,10.0,Toyota,Agya,TRD Sportivo,Bensin,Automatic,Compact & City Car,Front Wheel Drive (FWD),Merah,nan,Bekasi Kota,Jawa Barat,nan
50000000.0,2000.0,117500.0,1000.0,25.0,Suzuki,Karimun,DX,Bensin,Manual,Wagon,Front Wheel Drive (FWD),Silver,Individu,Kudus Kab.,Jawa Tengah,nan
438500991.0,2016.0,12500.0,2500.0,9.0,Mitsubishi,Pajero Sport,2.5L Dakar,Diesel,Automatic,SUV,4X2,Hitam,Individu,Surabaya Kota,Jawa Timur,nan
223000000.0,2010.0,112500.0,2500.0,15.0,Mitsubishi,Pajero Sport,Exceed,Diesel,Automatic Triptonic,Jeep,4X2,Hitam,Individu,Kudus Kab.,Jawa Tengah,nan
159500000.0,2016.0,92500.0,1250.0,9.0,Toyota,Avanza,Veloz,Bensin,Manual,MPV,Rear Wheel Drive (RWD),Marun,Individu,Bukittinggi Kota,Sumatra Barat,nan
122000000.0,2012.0,72500.0,1250.0,13.0,Volkswagen,Polo,1.4,Bensin,Automatic,SUV,4X2,Putih,Diler,Jakarta Pusat,Jakarta D.K.I.,Pasar Mobil Kemayoran
